Date, Numeric Delivery Month, Open, High, Low, Close, Volume
20131001,    54,33.36000000,34.44000000,33.30000000,34.31000000,  281809
20131002,    54,34.15000000,34.70000000,33.90000000,34.14000000,  216374
20131003,    54,34.32000000,34.36000000,33.20000000,33.88000000,  232639
20131004,    54,33.96000000,35.06000000,33.96000000,34.89000000,  239502
20131007,    54,34.46000000,34.69000000,34.08000000,34.14000000,  154487
20131008,    54,34.46000000,34.50000000,32.10000000,32.93000000,  429146
20131009,    54,33.07000000,33.33000000,31.79000000,33.01000000,  335097
20131010,    54,33.49000000,33.91000000,33.33000000,33.87000000,  234481
20131011,    54,33.67000000,34.37000000,33.61000000,34.15000000,  170123
20131014,    54,33.80000000,34.10000000,33.68000000,34.00000000,  176140
20131015,    54,34.20000000,34.32000000,33.06000000,33.38000000,  427739
20131016,    54,33.90000000,34.11000000,32.83000000,33.09000000,  448200
20131017,    54,32.88000000,33.01000000,32.31000000,32.74000000,  252297
20131018,    54,33.17000000,33.75000000,33.11000000,33.43000000,  246229
20131021,    54,33.65000000,34.35000000,33.65000000,34.06000000,  177767
20131022,    54,34.24000000,34.60000000,33.58000000,33.94000000,  175491
20131023,    54,33.76000000,33.84000000,33.02000000,33.10000000,  159317
20131024,    54,33.16000000,33.31000000,32.81000000,33.08000000,  150867
20131025,    54,32.31000000,32.95000000,32.00000000,32.25000000,  222900
20131028,    54,32.09000000,32.70000000,31.70000000,32.35000000,  183257
20131029,    54,33.07000000,34.00000000,32.82000000,33.17000000,  293492
20131030,    54,33.33000000,33.48000000,32.38000000,32.57000000,  142923
20131031,    54,32.43000000,33.12000000,32.28000000,32.94000000,  153019
20131101,    54,33.15000000,33.35000000,33.00000000,33.18000000,  152014
20131104,    54,33.20000000,33.66000000,33.01000000,33.19000000,  157785
20131105,    54,33.03000000,33.08000000,32.55000000,32.97000000,  134711
20131106,    54,33.07000000,33.30000000,32.71000000,32.88000000,  108264
20131107,    54,32.99000000,33.05000000,32.06000000,32.11000000,  168613
20131108,    54,32.23000000,33.12000000,32.20000000,33.12000000,  150828
20131111,    54,33.57000000,33.99000000,33.25000000,33.82000000,  158468
20131112,    54,34.00000000,34.52000000,33.88000000,34.07000000,  182276
20131113,    54,33.82000000,35.12000000,33.63000000,35.10000000,  213594
20131114,    54,35.07000000,35.89000000,34.76000000,35.69000000,  214114
20131115,    54,35.80000000,35.94000000,35.30000000,35.47000000,  156157
20131118,    54,35.65000000,36.19000000,34.51000000,34.98000000,  190700
20131119,    54,35.03000000,35.17000000,34.51000000,34.63000000,  149553
20131120,    54,35.43000000,36.22000000,35.22000000,35.62000000,  324398
20131121,    54,36.23000000,36.66000000,36.22000000,36.30000000,  264250
20131122,    54,36.19000000,36.63000000,35.96000000,36.49000000,  132475
20131125,    54,36.78000000,36.85000000,35.96000000,36.29000000,  151598
20131126,    54,36.32000000,36.75000000,36.11000000,36.64000000,  104583
20131127,    54,36.70000000,37.12000000,36.51000000,36.96000000,  104275
20131129,    54,36.91000000,37.35000000,36.90000000,36.98000000,   64554
20131202,    54,37.04000000,37.15000000,36.68000000,37.01000000,  115730
20131203,    54,36.77000000,37.07000000,36.34000000,36.56000000,  140983
20131204,    54,36.47000000,38.15000000,36.25000000,38.13000000,  261397
20131205,    54,38.24000000,39.31000000,38.05000000,38.87000000,  276620
20131206,    54,39.24000000,39.28000000,38.53000000,38.86000000,  222150
20131209,    54,39.13000000,39.20000000,38.57000000,38.87000000,  143863
20131210,    54,38.92000000,40.25000000,38.92000000,40.22000000,  254797
20131211,    54,39.90000000,40.16000000,38.92000000,39.16000000,  209152
20131212,    54,39.02000000,40.00000000,39.00000000,39.35000000,  161846
20131213,    54,39.61000000,40.20000000,39.56000000,39.73000000,  137737
20131216,    54,39.97000000,40.27000000,39.60000000,39.73000000,  114391
20131217,    54,39.99000000,40.00000000,39.40000000,39.51000000,   98420
20131218,    54,39.53000000,40.04000000,38.82000000,40.04000000,  168440
20131219,    54,40.04000000,40.38000000,39.91000000,40.20000000,  107102
20131220,    54,40.39000000,40.60000000,40.11000000,40.12000000,  246372
20131223,    54,40.25000000,40.80000000,40.13000000,40.77000000,   74479
20131224,    54,40.91000000,40.95000000,40.66000000,40.85000000,   51139
20131226,    54,41.00000000,41.05000000,40.22000000,40.65000000,   73646
20131227,    54,40.72000000,40.75000000,40.32000000,40.49000000,   61387
20131230,    54,40.46000000,40.58000000,39.85000000,40.20000000,   86768
20131231,    54,40.17000000,40.50000000,40.00000000,40.44000000,   82914
20140102,    54,40.37000000,40.49000000,39.31000000,39.59000000,  215042
20140103,    54,40.16000000,40.44000000,39.82000000,40.12000000,  157552
20140106,    54,40.05000000,40.32000000,39.75000000,39.93000000,  124675
20140107,    54,40.08000000,41.20000000,40.08000000,40.92000000,  141000
20140108,    54,41.29000000,41.72000000,41.02000000,41.02000000,  186382
20140109,    54,41.33000000,41.35000000,40.61000000,40.92000000,  128973
20140110,    54,40.95000000,41.35000000,40.82000000,41.23000000,   87217
20140113,    54,41.16000000,41.22000000,39.80000000,39.99000000,  160472
20140114,    54,40.21000000,41.14000000,40.04000000,41.14000000,  144739
20140115,    54,41.06000000,41.31000000,40.76000000,41.07000000,   94755
20140116,    54,40.43000000,40.75000000,40.11000000,40.34000000,  163482
20140117,    54,40.12000000,40.44000000,39.47000000,40.01000000,  192625
20140121,    54,39.98000000,40.05000000,38.86000000,39.52000000,  214364
20140122,    54,39.66000000,40.40000000,39.32000000,40.18000000,  129946
20140123,    54,39.31000000,39.77000000,39.14000000,39.39000000,  153843
20140124,    54,38.67000000,38.98000000,37.62000000,37.91000000,  263090
20140127,    54,37.60000000,37.94000000,36.62000000,36.65000000,  267280
20140128,    54,36.83000000,38.32000000,36.52000000,38.22000000,  397653
20140129,    54,35.77000000,36.31000000,34.82000000,34.89000000,  671905
20140130,    54,34.89000000,35.81000000,34.45000000,35.31000000,  322447
20140131,    54,34.69000000,36.33000000,34.55000000,36.01000000,  300724
20140203,    54,35.94000000,36.01000000,34.66000000,34.90000000,  221952
20140204,    54,35.11000000,35.86000000,34.86000000,35.66000000,  210825
20140205,    54,35.60000000,35.94000000,34.99000000,35.49000000,  140229
20140206,    54,35.65000000,36.75000000,35.61000000,36.24000000,  142500
20140207,    54,36.65000000,37.27000000,36.24000000,37.23000000,  161785
20140210,    54,38.00000000,38.13000000,37.25000000,37.76000000,  176429
20140211,    54,38.15000000,38.86000000,38.09000000,38.50000000,  183480
20140212,    54,38.60000000,38.91000000,38.03000000,38.11000000,  140885
20140213,    54,37.92000000,38.69000000,37.79000000,38.52000000,  120881
20140214,    54,38.43000000,38.45000000,38.11000000,38.23000000,   99758
20140218,    54,38.31000000,38.59000000,38.09000000,38.31000000,  120964
20140219,    54,38.06000000,38.33000000,37.68000000,37.81000000,  158519
20140220,    54,37.83000000,38.04000000,37.30000000,37.79000000,  111559
20140221,    54,37.90000000,37.96000000,37.22000000,37.29000000,  123519
20140224,    54,37.23000000,37.71000000,36.82000000,37.42000000,  157389
20140225,    54,37.48000000,37.58000000,37.02000000,37.26000000,   97569
20140226,    54,37.35000000,38.10000000,37.34000000,37.62000000,  157789
20140227,    54,37.80000000,38.48000000,37.74000000,38.47000000,  154894
